city_name,city_avg_wait,store_location,location_wait,load_time
Orange County,14,Cypress,10,2024-07-22 16:12
Orange County,14,Fountain Valley,20,2024-07-22 16:12
Orange County,14,Fullerton,15,2024-07-22 16:12
Orange County,14,Garden Grove,15,2024-07-22 16:12
Orange County,14,Huntington Beach,15,2024-07-22 16:12
Orange County,14,Irvine,20,2024-07-22 16:12
Orange County,14,La Habra,30,2024-07-22 16:12
Orange County,14,Laguna Marketplace,15,2024-07-22 16:12
Orange County,14,Laguna Niguel,5,2024-07-22 16:12
Orange County,14,San Juan Capistrano,15,2024-07-22 16:12
Orange County,14,Tustin,30,2024-07-22 16:12
Orange County,14,Tustin Ranch,1,2024-07-22 16:12
Orange County,14,Westminster Business Center,5,2024-07-22 16:12
Orange County,14,Yorba Linda,5,2024-07-22 16:12
Tampa Bay,9,Brandon,5,2024-07-22 16:12
Tampa Bay,9,W Tampa (Linebaugh Ave),10,2024-07-22 16:12
Tampa Bay,9,Clearwater,1,2024-07-22 16:12
Tampa Bay,9,Wesley Chapel,15,2024-07-22 16:12
Tampa Bay,9,Bradenton,10,2024-07-22 16:12
Tampa Bay,9,Sarasota Mall,10,2024-07-22 16:12
Detroit,10,Roseville,15,2024-07-22 16:12
Detroit,10,Madison Heights,1,2024-07-22 16:12
Detroit,10,Middlebelt,10,2024-07-22 16:12
Detroit,10,Haggerty,10,2024-07-22 16:12
Detroit,10,Lakeside,15,2024-07-22 16:12
Detroit,10,Bloomfield,5,2024-07-22 16:12
Detroit,10,Commerce Township,10,2024-07-22 16:12
Detroit,10,Auburn Hills,15,2024-07-22 16:12
Detroit,10,Ann Arbor,1,2024-07-22 16:12
Detroit,10,Brighton,20,2024-07-22 16:12
Portland,16,Tigard,15,2024-07-22 16:12
Portland,16,Clackamas,30,2024-07-22 16:12
Portland,16,Aloha,15,2024-07-22 16:12
Portland,16,Portland,15,2024-07-22 16:12
Portland,16,Vancouver WA,15,2024-07-22 16:12
Portland,16,E Vancouver WA,15,2024-07-22 16:12
Portland,16,Hillsboro,10,2024-07-22 16:12
Portland,16,Wilsonville,15,2024-07-22 16:12
Minneapolis,14,Minneapolis Business Center,10,2024-07-22 16:12
Minneapolis,14,St Louis Park,5,2024-07-22 16:12
Minneapolis,14,Eagan,20,2024-07-22 16:12
Minneapolis,14,Maple Grove,10,2024-07-22 16:12
Minneapolis,14,Eden Prairie,20,2024-07-22 16:12
Minneapolis,14,Maplewood,20,2024-07-22 16:12
Minneapolis,14,Woodbury,20,2024-07-22 16:12
Minneapolis,14,Coon Rapids,10,2024-07-22 16:12
Minneapolis,14,Burnsville,10,2024-07-22 16:12
Phoenix,11,Phoenix Business Center,10,2024-07-22 16:12
Phoenix,11,Phoenix (Montebello Ave),30,2024-07-22 16:12
Phoenix,11,Thomas Road (Arcadia Crossing),5,2024-07-22 16:12
Phoenix,11,Tempe,10,2024-07-22 16:12
Phoenix,11,Avondale,5,2024-07-22 16:12
Phoenix,11,Paradise Valley,5,2024-07-22 16:12
Phoenix,11,Gilbert (Arizona Ave),20,2024-07-22 16:12
Phoenix,11,Chandler,10,2024-07-22 16:12
Phoenix,11,N Phoenix (27th Ave),10,2024-07-22 16:12
Phoenix,11,Cave Creek,5,2024-07-22 16:12
Phoenix,11,Scottsdale,10,2024-07-22 16:12
Phoenix,11,Glendale,10,2024-07-22 16:12
Phoenix,11,SE Gilbert (Market St),5,2024-07-22 16:12
Phoenix,11,Mesa,15,2024-07-22 16:12
Atlanta,11,Brookhaven,5,2024-07-22 16:12
Atlanta,11,Cumberland Mall,1,2024-07-22 16:12
Atlanta,11,Perimeter,15,2024-07-22 16:12
Atlanta,11,Morrow Business Center,20,2024-07-22 16:12
Atlanta,11,Gwinnett,10,2024-07-22 16:12
Atlanta,11,Town Center,15,2024-07-22 16:12
Atlanta,11,Alpharetta,20,2024-07-22 16:12
Atlanta,11,Woodstock,5,2024-07-22 16:12
Atlanta,11,Sharpsburg,1,2024-07-22 16:12
Atlanta,11,Mall Of Georgia,15,2024-07-22 16:12
Atlanta,11,Cumming,15,2024-07-22 16:12
Denver,16,Denver Business Center,5,2024-07-22 16:12
Denver,16,Arvada,20,2024-07-22 16:12
Denver,16,Sheridan,5,2024-07-22 16:12
Denver,16,Aurora,60,2024-07-22 16:12
Denver,16,SW Denver (Quincy Ave),20,2024-07-22 16:12
Denver,16,Westminster,5,2024-07-22 16:12
Denver,16,Douglas County (Park Meadows),15,2024-07-22 16:12
Denver,16,Parker,10,2024-07-22 16:12
Denver,16,Thornton,5,2024-07-22 16:12
Denver,16,Superior,10,2024-07-22 16:12
Denver,16,Timnath,20,2024-07-22 16:12
Seattle,19,Seattle,5,2024-07-22 16:12
Seattle,19,Kirkland,15,2024-07-22 16:12
Seattle,19,Tukwila,5,2024-07-22 16:12
Seattle,19,Redmond,5,2024-07-22 16:12
Seattle,19,Aurora Village,20,2024-07-22 16:12
Seattle,19,Issaquah,15,2024-07-22 16:12
Seattle,19,Woodinville,20,2024-07-22 16:12
Seattle,19,Lynnwood Business Center,5,2024-07-22 16:12
Seattle,19,Lynnwood,15,2024-07-22 16:12
Seattle,19,Silverdale,15,2024-07-22 16:12
Seattle,19,Covington,5,2024-07-22 16:12
Seattle,19,Gig Harbor,30,2024-07-22 16:12
Seattle,19,Everett,10,2024-07-22 16:12
Seattle,19,Federal Way,15,2024-07-22 16:12
Seattle,19,Fife Business Center,10,2024-07-22 16:12
Seattle,19,Tacoma,120,2024-07-22 16:12
Seattle,19,Puyallup,20,2024-07-22 16:12
Seattle,19,Bonney Lake,15,2024-07-22 16:12
Seattle,19,Marysville,15,2024-07-22 16:12
Chicago,14,Chicago South Loop,20,2024-07-22 16:12
Chicago,14,Lincoln Park,5,2024-07-22 16:12
Chicago,14,North Riverside IL,15,2024-07-22 16:12
Chicago,14,Bedford Park Business Center,5,2024-07-22 16:12
Chicago,14,Melrose Park,10,2024-07-22 16:12
Chicago,14,Niles,20,2024-07-22 16:12
Chicago,14,Oak Brook,5,2024-07-22 16:12
Chicago,14,Glenview,20,2024-07-22 16:12
Chicago,14,Mt Prospect,15,2024-07-22 16:12
Chicago,14,Orland Park,20,2024-07-22 16:12
Chicago,14,Bolingbrook,30,2024-07-22 16:12
Chicago,14,Schaumburg,10,2024-07-22 16:12
Chicago,14,Bloomingdale,20,2024-07-22 16:12
Chicago,14,Mettawa,15,2024-07-22 16:12
Chicago,14,Lake Zurich,15,2024-07-22 16:12
Chicago,14,Naperville,10,2024-07-22 16:12
Chicago,14,Merrillville,10,2024-07-22 16:12
Chicago,14,St Charles,15,2024-07-22 16:12
Chicago,14,Lake In The Hills,5,2024-07-22 16:12
Houston,14,Cypress,5,2024-07-22 16:12
Houston,14,Galleria,10,2024-07-22 16:12
Houston,14,Bunker Hill,5,2024-07-22 16:12
Houston,14,Pearland,15,2024-07-22 16:12
Houston,14,Willowbrook,5,2024-07-22 16:12
Houston,14,Humble,10,2024-07-22 16:12
Houston,14,Sugar Land,20,2024-07-22 16:12
Houston,14,Webster,30,2024-07-22 16:12
Houston,14,W Katy,30,2024-07-22 16:12
Houston,14,Woodlands,10,2024-07-22 16:12
Miami,11,Miami,15,2024-07-22 16:12
Miami,11,N Miami,10,2024-07-22 16:12
Miami,11,Miami Lakes,20,2024-07-22 16:12
Miami,11,Kendall,15,2024-07-22 16:12
Miami,11,Pembroke Pines,10,2024-07-22 16:12
Miami,11,Davie,5,2024-07-22 16:12
Miami,11,Pompano,10,2024-07-22 16:12
Miami,11,Coral Springs,5,2024-07-22 16:12
Miami,11,Boca Raton,10,2024-07-22 16:12
Miami,11,Lantana,10,2024-07-22 16:12
