,city_name,city_avg_wait,store_location,location_wait
0,"Orange County, CA",12,Cypress,15
1,"Orange County, CA",12,Fountain Valley,30
2,"Orange County, CA",12,Fullerton,5
3,"Orange County, CA",12,Garden Grove,10
4,"Orange County, CA",12,Huntington Beach,10
5,"Orange County, CA",12,Irvine,15
6,"Orange County, CA",12,La Habra,10
7,"Orange County, CA",12,Laguna Marketplace,20
8,"Orange County, CA",12,Laguna Niguel,10
9,"Orange County, CA",12,San Juan Capistrano,15
10,"Orange County, CA",12,Tustin,1
11,"Orange County, CA",12,Tustin Ranch,10
12,"Orange County, CA",12,Westminster Business Center,5
13,"Orange County, CA",12,Yorba Linda,15
14,Tampa Bay,10,Brandon,5
15,Tampa Bay,10,W Tampa (Linebaugh Ave),15
16,Tampa Bay,10,Clearwater,5
17,Tampa Bay,10,Wesley Chapel,5
18,Tampa Bay,10,Bradenton,15
19,Tampa Bay,10,Sarasota Mall,15
20,Detroit,14,Roseville,20
21,Detroit,14,Madison Heights,10
22,Detroit,14,Middlebelt,20
23,Detroit,14,Haggerty,10
24,Detroit,14,Lakeside,10
25,Detroit,14,Bloomfield,15
26,Detroit,14,Commerce Township,20
27,Detroit,14,Auburn Hills,5
28,Detroit,14,Ann Arbor,15
29,Detroit,14,Brighton,10
30,Portland,10,Tigard,20
31,Portland,10,Clackamas,5
32,Portland,10,Aloha,20
33,Portland,10,Portland,1
34,Portland,10,Vancouver WA,5
35,Portland,10,E Vancouver WA,15
36,Portland,10,Hillsboro,10
37,Portland,10,Wilsonville,5
38,Minneapolis,9,Minneapolis Business Center,1
39,Minneapolis,9,St Louis Park,5
40,Minneapolis,9,Eagan,10
41,Minneapolis,9,Maple Grove,10
42,Minneapolis,9,Eden Prairie,15
43,Minneapolis,9,Maplewood,10
44,Minneapolis,9,Woodbury,10
45,Minneapolis,9,Coon Rapids,1
46,Minneapolis,9,Burnsville,15
47,Phoenix,12,Phoenix Business Center,5
48,Phoenix,12,Phoenix (Montebello Ave),20
49,Phoenix,12,Thomas Road (Arcadia Crossing),20
50,Phoenix,12,Tempe,5
51,Phoenix,12,Avondale,10
52,Phoenix,12,Paradise Valley,10
53,Phoenix,12,Gilbert (Arizona Ave),20
54,Phoenix,12,Chandler,15
55,Phoenix,12,N Phoenix (27th Ave),15
56,Phoenix,12,Cave Creek,5
57,Phoenix,12,Scottsdale,20
58,Phoenix,12,Glendale,10
59,Phoenix,12,SE Gilbert (Market St),5
60,Phoenix,12,Mesa,10
61,Atlanta,12,Brookhaven,10
62,Atlanta,12,Cumberland Mall,5
63,Atlanta,12,Perimeter,10
64,Atlanta,12,Morrow Business Center,5
65,Atlanta,12,Gwinnett,5
66,Atlanta,12,Town Center,15
67,Atlanta,12,Alpharetta,15
68,Atlanta,12,Woodstock,15
69,Atlanta,12,Sharpsburg,20
70,Atlanta,12,Mall Of Georgia,10
71,Atlanta,12,Cumming,20
72,Denver,13,Denver Business Center,5
73,Denver,13,Arvada,10
74,Denver,13,Sheridan,15
75,Denver,13,Aurora,5
76,Denver,13,SW Denver (Quincy Ave),5
77,Denver,13,Westminster,10
78,Denver,13,Douglas County (Park Meadows),20
79,Denver,13,Parker,20
80,Denver,13,Thornton,15
81,Denver,13,Superior,20
82,Denver,13,Timnath,15
83,Seattle,12,Seattle,10
84,Seattle,12,Kirkland,5
85,Seattle,12,Tukwila,20
86,Seattle,12,Redmond,1
87,Seattle,12,Aurora Village,20
88,Seattle,12,Issaquah,15
89,Seattle,12,Woodinville,10
90,Seattle,12,Lynnwood Business Center,5
91,Seattle,12,Lynnwood,20
92,Seattle,12,Silverdale,10
93,Seattle,12,Covington,20
94,Seattle,12,Gig Harbor,15
95,Seattle,12,Everett,5
96,Seattle,12,Federal Way,1
97,Seattle,12,Fife Business Center,1
98,Seattle,12,Tacoma,20
99,Seattle,12,Puyallup,20
100,Seattle,12,Bonney Lake,20
101,Seattle,12,Marysville,15
102,Chicago,13,Chicago South Loop,20
103,Chicago,13,Lincoln Park,15
104,Chicago,13,North Riverside IL,5
105,Chicago,13,Bedford Park Business Center,5
106,Chicago,13,Melrose Park,20
107,Chicago,13,Niles,5
108,Chicago,13,Oak Brook,20
109,Chicago,13,Glenview,15
110,Chicago,13,Mt Prospect,15
111,Chicago,13,Orland Park,15
112,Chicago,13,Bolingbrook,20
113,Chicago,13,Schaumburg,10
114,Chicago,13,Bloomingdale,10
115,Chicago,13,Mettawa,15
116,Chicago,13,Lake Zurich,20
117,Chicago,13,Naperville,15
118,Chicago,13,Merrillville,10
119,Chicago,13,St Charles,15
120,Chicago,13,Lake In The Hills,5
121,Houston,13,Cypress,10
122,Houston,13,Galleria,20
123,Houston,13,Bunker Hill,15
124,Houston,13,Pearland,15
125,Houston,13,Willowbrook,10
126,Houston,13,Humble,10
127,Houston,13,Sugar Land,5
128,Houston,13,Webster,10
129,Houston,13,W Katy,15
130,Houston,13,Woodlands,15
131,Miami,11,Miami,5
132,Miami,11,N Miami,20
