,city_name,city_avg_wait,store_location,location_wait,load_time
0,Orange County,20,Cypress,5,2024-07-22 14:58
1,Orange County,20,Fountain Valley,10,2024-07-22 14:58
2,Orange County,20,Fullerton,20,2024-07-22 14:58
3,Orange County,20,Garden Grove,15,2024-07-22 14:58
4,Orange County,20,Huntington Beach,10,2024-07-22 14:58
5,Orange County,20,Irvine,1,2024-07-22 14:58
6,Orange County,20,La Habra,10,2024-07-22 14:58
7,Orange County,20,Laguna Marketplace,15,2024-07-22 14:58
8,Orange County,20,Laguna Niguel,20,2024-07-22 14:58
9,Orange County,20,San Juan Capistrano,15,2024-07-22 14:58
10,Orange County,20,Tustin,1,2024-07-22 14:58
11,Orange County,20,Tustin Ranch,30,2024-07-22 14:58
12,Orange County,20,Westminster Business Center,10,2024-07-22 14:58
13,Orange County,20,Yorba Linda,120,2024-07-22 14:58
14,Tampa Bay,19,Brandon,20,2024-07-22 14:58
15,Tampa Bay,19,W Tampa (Linebaugh Ave),15,2024-07-22 14:58
16,Tampa Bay,19,Clearwater,15,2024-07-22 14:58
17,Tampa Bay,19,Wesley Chapel,20,2024-07-22 14:58
18,Tampa Bay,19,Bradenton,30,2024-07-22 14:58
19,Tampa Bay,19,Sarasota Mall,15,2024-07-22 14:58
20,Detroit,14,Roseville,20,2024-07-22 14:58
21,Detroit,14,Madison Heights,5,2024-07-22 14:58
22,Detroit,14,Middlebelt,20,2024-07-22 14:58
23,Detroit,14,Haggerty,5,2024-07-22 14:58
24,Detroit,14,Lakeside,30,2024-07-22 14:58
25,Detroit,14,Bloomfield,10,2024-07-22 14:58
26,Detroit,14,Commerce Township,5,2024-07-22 14:58
27,Detroit,14,Auburn Hills,5,2024-07-22 14:58
28,Detroit,14,Ann Arbor,15,2024-07-22 14:58
29,Detroit,14,Brighton,20,2024-07-22 14:58
30,Portland,11,Tigard,10,2024-07-22 14:58
31,Portland,11,Clackamas,10,2024-07-22 14:58
32,Portland,11,Aloha,10,2024-07-22 14:58
33,Portland,11,Portland,10,2024-07-22 14:58
34,Portland,11,Vancouver WA,15,2024-07-22 14:58
